episode,step_amp,zeta_hat,zeta_eff,c,dc_applied,peak1,peak2
0,1.0,0.07564270319145569,0.21366197723675812,2.6849555921538757,0.8,0.025466430188076827,0.01581119783284869
1,1.0,,0.27732395447351627,3.4849555921538755,0.8,0.019116074583259327,
2,1.0,,0.34098593171027436,4.284955592153875,0.8,0.014302612492058477,
3,1.0,,0.4046479089470325,5.084955592153875,0.8,0.01062691870401135,
4,1.0,,0.4683098861837906,5.884955592153875,0.8,,
5,1.0,,0.5319718634205487,6.684955592153875,0.8,,
6,1.0,,0.5956338406573068,7.484955592153875,0.8,,
7,1.0,,0.659295817894065,8.284955592153874,0.8,,
8,1.0,,0.6966355643519199,8.754180684789484,0.46922509263560974,,
9,1.0,,0.7161468951420776,8.999367298677964,0.2451866138884805,,
10,1.6,,0.7261495123442627,9.125063893554186,0.12569659487622226,,
11,1.6,,0.731064094820519,9.186822358365658,0.06175846481147229,,
12,1.6,,0.7332613366955363,9.214433714096515,0.02761135573085652,,
13,1.6,,0.7340124448926508,9.223872418072938,0.00943870397642263,,
14,1.6,,0.7339989316878143,9.223702606132775,-0.0001698119401622733,,
15,1.6,,0.7335860382101712,9.21851403366846,-0.0051885724643151165,,
16,1.0,,0.7329693830463383,9.210764916338478,-0.007749117329982402,,
17,1.0,,0.7322536160138383,9.201770322534543,-0.008994593803935663,,
18,1.0,,0.7314946033837227,9.192232288523531,-0.009538034011011554,,
19,1.0,,0.7307220534537705,9.182524139785654,-0.009708148737876537,,
20,1.8,,0.7299516514440474,9.172842982609426,-0.009681157176228722,,
21,1.8,,0.7291915677947889,9.16329148977493,-0.009551492834497133,,
22,1.8,,0.7284459486820231,9.153921763666764,-0.009369726108164472,,
23,1.8,,0.7277167879708625,9.14475885993289,-0.009162903733872935,,
24,1.8,,0.7270049310682563,9.135813402270351,-0.008945457662538847,,
25,1.8,,0.726310613180069,9.12708834636321,-0.008725055907139956,,
26,1.0,,0.7256337478530741,9.118582605808184,-0.008505740555026509,,
27,1.0,,0.7249740815878164,9.110292995037165,-0.008289610771018557,,
28,1.0,,0.7243312766232378,9.10221526961952,-0.00807772541764476,,
29,1.0,,0.7237049552003549,9.094344682495862,-0.007870587123658956,,
